backend,visiblePoints,geometryMs,initializationMs,cpuFrameP50Ms,cpuFrameP95Ms,gpuFrameP50Ms,gpuFrameP95Ms,observedFps,droppedFrameRate,rendererMainThreadUtilization,gpuUtilizationAverage,gpuUtilizationP95,gpuMemoryAverageMiB,gpuMemoryMaxMiB,drawCallsPerFrame,queueSubmitsPerFrame
canvas2d,1000,1.2000000476837158,0.7000000476837158,0.2999999523162842,0.6000000238418579,,,130.9671927182241,0.25666666666666665,9.583401475449275,27.768923762909022,33.922359285087545,194.42317708333334,197.234375,7,
webgl2,1000,1.7999999523162842,20.5,0.40000009536743164,0.7000000476837158,2.5187755000000003,3.4304395999999993,165.02104018262324,0,15.058782444015733,50.204112481147256,57.064175736790816,321.025390625,327.9453125,7,
webgpu,1000,0.6999999284744263,12.100000023841858,0.7999999523162842,1.3000000715255737,0.029948,0.03083305,165.02104018262324,0,23.09655316659975,31.146147417314673,54.55209874341507,239.4125,245.4453125,7,1
canvas2d,5000,4.600000023841858,0.3999999761581421,1.2999999523162842,2.200000047683716,,,62.31111941926038,0.9733333333333334,12.197136875873412,17.514079971948995,25.20796608591659,311.66335227272725,311.671875,7,
webgl2,5000,3.8000000715255737,42.199999928474426,2,3,2.4032025,3.1129007,165.02104018262324,0,43.06095418898957,46.0409055067201,53.24173570326018,372.4638671875,381.69140625,7,
webgpu,5000,6,16.09999990463257,1.7999999523162842,2.799999952316284,0.093593,0.0976638,165.02104018262324,0,38.425694801365545,30.159382727051025,40.2685509627906,246.9912109375,246.9921875,7,1
canvas2d,10000,9.5,0.10000002384185791,2.1999999284744263,3.899999976158142,,,56.448274564407456,0.9966666666666667,17.808166375897116,16.56234931993749,24.890711990410388,308.1207932692308,313.21484375,7,
webgl2,10000,9.299999952316284,48.700000047683716,3.899999976158142,4.700000047683716,2.318932,2.911822,165.02104018262324,0,68.19209517771499,45.79884782899887,52.219640193305345,370.435546875,384.26953125,7,
webgpu,10000,7.5,15.099999904632568,3.100000023841858,4.600000023841858,0.17533749999999998,0.195897,165.02104018262355,0,60.0258489334217,30.444332683929805,38.74766391261879,258.3765625,265.5703125,7,1
